,Name,Result,Description,id
0,750InsPremAutocivilka,"__Result = ""---"";
Workflow.DTO.Models.Program prog = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""247"");
if (prog != null)
{
	if (__Product.PaymentPeriods != null && __Product.PaymentPeriods.Count() > 0)
	{
		__Result = __Product.PaymentPeriods.Sum(pp => pp.PlanedPayments.Where(p => p.ProgramGID == prog.gid).Sum(p => p.Value)).ToString(""N2"");
	}
}
","Код знаходить програму з кодом типу страхування ""247"" у продукті, і якщо така існує та є платіжні періоди, обчислює загальну суму запланованих платежів по цій програмі та повертає її у форматі з двома десятковими знаками. Якщо умови не виконані, результат дорівнює ""---"".",0
1,750InsPremAsist,"__Result = ""---"";
Workflow.DTO.Models.Program prog = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""148"");
if (prog != null)
{
	if (__Product.PaymentPeriods != null && __Product.PaymentPeriods.Count() > 0)
	{
		__Result = __Product.PaymentPeriods.Sum(pp => pp.PlanedPayments.Where(p => p.ProgramGID == prog.gid).Sum(p => p.Value)).ToString(""N2"");
	}
}
","Код обчислює загальну суму запланованих платежів по програмі з кодом типу страхування ""148"" та повертає її у форматі з двома десятковими знаками; якщо дані відсутні — повертає ""---"".",1
2,704LandAddress,"__Result = """";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""396"");
if (program != null)
{
	Workflow.DTO.Models.InsuranceObject insuranceObject = program.InsuranceObjects.FirstOrDefault(i => i.GetObjectTypeName() == ""Земельна ділянка"");
	if (insuranceObject != null)
	{
		Workflow.DTO.Models.Estate estate = (Workflow.DTO.Models.Estate)insuranceObject.Object;
		if (estate.PostAddressObject != null)
		{
			__Result = __Result + "", "" + estate.PostAddressObject.PostCode + "" "" + estate.PostAddressObject.GetParentRegionName() + "", "" + estate.PostAddressObject.GetSettlementName() + "", "" + estate.PostAddressObject.GetStreetTypeName() + "" "" + estate.PostAddressObject.Street + "", б. "" + estate.PostAddressObject.House;
		}
		else
		{
					__Result = __Result + "", "" + estate.PostAddressObject.PostCode + "" "" + estate.PostAddressObject.GetParentRegionName() + "", "" + estate.PostAddressObject.GetRegionName() + "", "" + estate.PostAddressObject.GetSettlementName() + "", "" + estate.PostAddressObject.GetStreetTypeName() + "" "" + estate.PostAddressObject.Street + "", б. "" + estate.PostAddressObject.House;
		}
	}
}
","Код формує текстову адресу земельної ділянки з програми з кодом ""396"", якщо така існує і має відповідний об'єкт страхування та адресу.",2
3,739ParamSport,"__Result = ""Ні"";
Workflow.DTO.Models.Program program = GetProgramMed;
if (program != null)
{
	Workflow.DTO.Models.ProgramParameterValue param = program.Parameters.FirstOrDefault(pr => pr.GetParameterName() == ""Відпочинок з риз. видами спорта"");
	if (param != null)
	{
		if (param.GetParameterValueCaption().ToString() != ""False"")
		{
			__Result = ""Так"";
		}
	}
}
","Код перевіряє, чи в програмі GetProgramMed встановлений параметр ""Відпочинок з риз. видами спорта"" в значення, відмінне від ""False"", і повертає ""Так"" або ""Ні"" відповідно.",3
4,769Rate249,"__Result = ""---"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""249"");
if (program != null)
{
	int count = program.InsuranceObjects.Where(i => i.GetInsuranceObjectTypeName() == ""Об’єкт страхування"").Count();
	if (count >= 2)
	{
		__Result = ""Згідно з Додатком 2 до Договору"";
	}
	else
	{
			decimal value = program.InsuranceRate;
		__Result = value.ToString(""N4"");
	}
}
","Код перевіряє кількість об'єктів страхування в програмі з кодом ""249""; якщо їх більше одного — повертає текст ""Згідно з Додатком 2 до Договору"", інакше — повертає страхову ставку з точністю до чотирьох знаків.",4
5,769Rate250,"__Result = ""---"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""250"");
if (program != null)
{
	int count = program.InsuranceObjects.Where(i => i.GetInsuranceObjectTypeName() == ""Об’єкт страхування"").Count();
	if (count >= 2)
	{
		__Result = ""Згідно з Додатком 2 до Договору"";
	}
	else
	{
			decimal value = program.InsuranceRate;
		__Result = value.ToString(""N4"");
	}
}
","Код перевіряє кількість об'єктів страхування в програмі з кодом ""250""; якщо їх більше одного — повертає фіксований текст, інакше — страхову ставку.",5
6,769InsuranceAmountforPropertyon1,"__Result = ""---"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""249"");
if (program != null)
{
	int count = program.InsuranceObjects.Where(i => i.GetInsuranceObjectTypeName() == ""Об’єкт страхування"").Count();
	if (count >= 2)
	{
		__Result = ""Згідно з Додатком 2 до Договору"";
	}
	else
	{
			Workflow.DTO.Models.InsuranceObject insuranceObject = program.InsuranceObjects.FirstOrDefault(i => i.GetInsuranceObjectTypeName() == ""Об’єкт страхування"");
		if (insuranceObject != null && insuranceObject.Object != null)
		{
			Workflow.DTO.Models.EntityAttribute attribute = insuranceObject.EntityAttributes.FirstOrDefault(t => t.GetAttributeName() == ""Ліміт відповідальності по 1 потерпілій особі за шкоду, заподіяну багажу"");
			if (attribute != null)
			{
				__Result = attribute.GetValueCaption().ToString();
			}
		}
	}
}
","Код перевіряє кількість об'єктів страхування в програмі з кодом ""249""; якщо кількість об'єктів ≥ 2 — повертає фіксований текст, інакше — повертає значення атрибуту ""Ліміт відповідальності по 1 потерпілій особі за шкоду, заподіяну багажу"", якщо він знайдений.",6
7,717LimitOnOneInsuranceCase,"__Result = """";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""521"");
if (program != null)
{
	Workflow.DTO.Models.ProgramParameterValue param = program.Parameters.FirstOrDefault(p => p.GetParameterCaption() == ""Ліміт на один страховий випадок (%)"");
	if (param != null)
	{
		__Result = param.GetParameterValueCaption().ToString();
	}
}
","Код шукає програму з кодом ""521"" і повертає значення параметра ""Ліміт на один страховий випадок (%)"", якщо він існує.",7
8,717CourtDecisionDuringContract,"__Result = ""Ні"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""521"");
if (program != null)
{
	Workflow.DTO.Models.ProgramParameterValue param = program.Parameters.FirstOrDefault(p => p.GetParameterCaption() == ""Цивільно-правова відповідальність Страхувальника"");
	if (param != null && param.GetParameterValueCaption().ToString() == ""За рішенням суду в період дії договору"")
	{
		__Result = ""Так"";
	}
}
","Код перевіряє, чи параметр ""Цивільно-правова відповідальність Страхувальника"" у програмі ""521"" дорівнює ""За рішенням суду в період дії договору"", і повертає ""Так"" або ""Ні"".",8
9,717CourtDecision,"__Result = ""Ні"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""521"");
if (program != null)
{
	Workflow.DTO.Models.ProgramParameterValue param = program.Parameters.FirstOrDefault(p => p.GetParameterCaption() == ""Цивільно-правова відповідальність Страхувальника"");
	if (param != null && param.GetParameterValueCaption().ToString() == ""За рішенням суду"")
	{
		__Result = ""Так"";
	}
}
","Код перевіряє, чи параметр ""Цивільно-правова відповідальність Страхувальника"" у програмі ""521"" містить значення ""За рішенням суду"", і повертає ""Так"" або ""Ні"".",9
10,717InsurersDecision,"__Result = ""Ні"";
Workflow.DTO.Models.Program program = __Product.Programs.FirstOrDefault(p => p.GetInsuranceTypeCode() == ""521"");
if (program != null)
{
	Workflow.DTO.Models.ProgramParameterValue param = program.Parameters.FirstOrDefault(p => p.GetParameterCaption() == ""Цивільно-правова відповідальність Страхувальника"");
	if (param != null && param.GetParameterValueCaption().ToString() == ""За рішенням страховика"")
	{
		__Result = ""Так"";
	}
}
","Код перевіряє, чи параметр ""Цивільно-правова відповідальність Страхувальника"" у програмі ""521"" має значення ""За рішенням страховика""; якщо так — повертає ""Так"", інакше — ""Ні"".",10
